role,desc, dates
"UTKL Group – Design, Simulation of PET & other Gamma Detecto",""	Simulation of Positron Emission Tomography Detectors (PET) and similar gamma-matter interactions
"	Currently simulating a novel PET designed for whole-body scans which employs inexpensive plastic scintillators
"	Assisted with simulation of an extruded plastic wavelength shifter alternative for the LEGEND experiment
"	Using Geant4, ROOT and Python via CMake, Bash and the Linux environment (C++). 
"	Implemented machine learning and statistical algorithms including a KNN and CNN
"	Meeting with Dr. Lang of UT Austin and others bi-weekly to discuss progress and refinements",Jan 2020 – May 20
"Phonon Momentum Group – Experiment Design, Theory & Analysi",""	Initial experiment design and estimates of phonon angular momentum measurement via a high-Q double torsional oscillator and the Einstein-de Haas effect
"	Using Python to fit resonances and calculate forces from capacitive and fiber-optic-interferometry
"	Initial findings were presented by another member at the APS (American Physical Society) meeting in March 2022
"	Meeting with Dr. Markert of UT Austin and others weekly to discuss progress and refinements",Aug 2020 – May 20
Research Assistant,,2019
Research Fellow,, 2020-
Research Associate,, 2021-
